Subject,Year,Session,ExamType,PaperNumber,PDF_Link
Radiation Oncology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Radiation Oncology Paper1.pdf
Radiation Oncology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Radiation Oncology Paper2.pdf
Radiation Oncology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Radiation Oncology Paper3.pdf
Radiation Oncology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Radiation Oncology Paper4.pdf
Radiology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Radio Diagnosis Paper1.pdf
Radiology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Radio Diagnosis Paper2.pdf
Radiology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Radio Diagnosis Paper3.pdf
Radiology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Radio Diagnosis Paper4.pdf
Pulmonology,2025,December,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Respiratory Medicine Paper1.pdf
Pulmonology,2025,December,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Respiratory Medicine Paper2.pdf
Pulmonology,2025,December,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Respiratory Medicine Paper3.pdf
Pulmonology,2025,December,DNB,4,https://natboard.edu.in/natboard-data/QuestionPaper/DNB_DEC25/DNB Respiratory Medicine Paper4.pdf
General Surgery,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Vascular Surgery Paper3.pdf
General Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Vascular Surgery Paper2.pdf
General Surgery,2025,October,DNB,1,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Vascular Surgery Paper1.pdf
General Surgery,2025,October,DNB,3,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Urology Paper3.pdf
General Surgery,2025,October,DNB,2,https://natboard.edu.in/natboard-data/QuestionPaper/DrNB_OCT25/DrNB Urology Paper2.pdf
